Name,Date of Birth,Nationality,Role,Sex,Discipline 1,Discipline 2,Date of Infraction,Sanction,Ineligibility until,Period of Disqualification of results,Lifetime Ban?,Infraction Type,ADRV Rules,ADRV Notes,Description
 Firegenet Ayalew MANDEFIRO,05/04/1993,ETH,athlete,F,Marathon,Long Distance (3000m+),26/08/2018,8 years ineligibility,23/02/2027,Since 26.08.18,No,Doping,"Presence,Use, Tampering","EPO, Tampering (2nd ADRV)","In competition test,  21k Ciudad de Guatemala , Guatemala, GTM; Art 2.5 ADR - Tampering"
 Andrian MARDARE,20/06/1995,MDA,athlete,M,Javelin,Throws,11/07/2019,No significant fault or negligence,,On 11.07.19,No,Doping,"Presence,Use",Ostarine (enobosarm),"In competition test, 30th Summer Universiade Napoli 2019, Napoli, ITA"
 Brian MARIANO,22/01/1985,NED,athlete,M,,Sprints (400m or less),06/02/2016,4 years ineligibility,05/02/2020,Since 06.02.16,No,Doping,"Presence,Use",Stanozolol,"In competition test,  Meeting d'athl‚àö¬©tisme de Mondeville , Mondeville, FRA"
 Neddy MARIE,06/02/1990,SEY,athlete,M,Decathlon,Combined Events,15/03/2016,4 years ineligibility,14/03/2020,Since 15.3.16,No,Doping,"Presence,Use",Stanozolol,"Out of competition test, VIn competition testoria, SEY"
 Lilian Moraa MARIITA,03/04/1988,KEN,athlete,F,,Long Distance (3000m+),04/07/2015,8 years ineligibility,13/08/2023,Since 04.07.15,No,Doping,"Presence,Use",Exogenous Steroids,"In competition test,   Great Buffalo Chase 5K Run , Frankfort, USA"
 Rose Jepchoge MARU,15/08/1987,KEN,athlete,F,,Long Distance (3000m+),29/04/2018,4 years ineligibility,19/06/2022,Since 29.04.18,No,Doping,"Presence,Use",EPO,"In competition test, Dusseldorf marathon, Dusseldorf, GER"
 Yousef Ahmed MASRAHI,31/12/1987,KSA,athlete,M,"400m
Hurdles",Sprints (400m or less),15/06/2016,4 years ineligibility,13/07/2020,Since 15.06.16,No,Doping,"Presence,Use",EPO,"Out-of competition test, Marina del Rey, USA"
 Ronald Kiptai MATAKAT,27/09/1997,KEN,athlete,M,Half Marathon,Long Distance (3000m+),21/10/2017,2 years ineligibility,16/03/2020,Since 21.10.17,No,Doping,"Presence,Use",Prednisone & prednisolone,"In competition test, 'Laikipia University 7th Half Marathon' in Nyahururu, KEN"
 Yelena MATOSHKO,23/06/1982,BLR,athlete,F,Hammer,Throws,07/08/2012,2 years ineligibility,19/02/2021,"From 07.08.12 to
06.08.14",No,Doping,"Presence,Use",Oxandrolone,"In competition test, XXX Olympic Games, London, GBR"
 Takuya MATSUBARA,,JPN,athlete,M,,Throws,,2 years ineligibility,10/10/2020,Since 09.09.18,No,Non-Doping,"Presence,Use",Clomifene,"In competition test, 'Kawasaki Japanese University Championships', Kawasaki, JPN"
 Simona Raula MAXIM,20/07/1985,ROU,athlete,F,Marathon,Long Distance (3000m+),23/05/2017,8 years ineligibility,05/07/2025,-,No,Doping,"Presence,Use",EPO,"Out competition, in Bucharest, ROU"
 Albina MAYOROVA (IVANOVA),16/05/1977,RUS,athlete,F,,Long Distance (3000m+),14/03/2016,4 years ineligibility,27/06/2020,14.3.16 - 28.6.16,No,Doping,"Presence,Use",Exogenous Steroids,"Out of competition test, Cheboksary, RUS"
 Jaromir MAZGAL,20/01/1993,CZE,athlete,M,,Throws,10/06/2017,4 years ineligibility,09/07/2021,From 10.06.17,No,Doping,"Presence,Use",Dehydrochloromethyltestos terone,"In competition, in    Championships of the Czech Republic , Trinec, CZE"
 Zouhir MAZIANE,23/02/1999,MAR,athlete,M,,Long Distance (3000m+),22/01/2019,4 years ineligibility,03/03/2023,Since 22.01.19,No,Doping,"Presence,Use",Clenbuterol,"OOCT, Ben GuÈrir, MAR"
 Sonia MAZZOLINI,23/02/1999,ITA,athlete,F,1500m,Middle Distance (800m-1500m),20/01/2019,1 year ineligibility,14/02/2020,Since 20.01.19,No,Doping,"Presence,Use",Clostebol,"ICT, ìXXI Cross Citt‡ di Novi Ligureî, Novi Ligure, ITA"
 Scott MCPHERSON,30/09/1956,USA,athlete,M,,,18/02/2017,4 years ineligibility,22/03/2021,Since 18.02.17,No,Doping,"Presence,Use",Exogenous Steroids,"In competition test, 'USATF Masters Indoor Championships', Albuquerque, USA"
 Yekaterina MEDVEDEVA (RYZHOVA),29/03/1994,RUS,athlete,F,Race Walk,Long Distance (3000m+),31/01/2018,8 years ineligibility,26/03/2027,Since 31.01.18,No,Doping,Use,Athlete Biological Passport,IAAF Rule 32.2 (b) Athlete Biological Passport Case
 Francesco MEGALE,16/09/1964,ITA,athlete,M,,Long Distance (3000m+),12/03/2017,4 years ineligibility,17/07/2021,12.03.17,No,Doping,"Presence,Use",Stanozolol,"In competition test,    ESA Competition , ITA"
 Ying MEI,,CHN,athlete,F,,Long Distance (3000m+),,4 years ineligibility,18/07/2021,Since 29.05.17,No,Non-Doping,"Presence,Use",EPO,"In competition test, 'Domestic Marathon', CHN"
 Hamza MELLAS,17/03/2000,MAR,athlete,M,,Middle Distance (800m-1500m),16/01/2019,4 years ineligibility,24/02/2023,Since 16.01.19,No,Doping,"Presence,Use",Mesterolone,"Out-of-competition test, Ben GuÈrir, MAR"
 Alexey MELNIKOV,,RUS,athlete support personn el,M,,Athlete Support Personnel,07/04/2017,Lifetime ban as from 07/04/2017,,NA,Yes,Doping,Administration,Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method,IAAF Rule 32.2 (h)  - Administration
 Ali MESSAOUDI,13/10/1995,ALG,athlete,M,3000m SC,Long Distance (3000m+),12/05/2017,4 years ineligibility,11/05/2021,Since 12.05.17,No,Doping,"Presence,Use",Stanozolol,"In competition test,   2017 Islamic Solidarity Games , Baku, AZE"
 Aksana MIANKOVA,28/03/1982,BLR,athlete,F,Hammer,Throws,20/08/2008,4 years ineligibility,09/06/2020,"From 20.08.08 to
06.08.14 and from
01.01.16 to 21.05.16",No,Doping,"Presence,Use","Dehydrochlormethyltestost erone, Oxandrolone, Stanozolol, Meldonium","In competition, in    XXIX Olympic Games , Beijing, CHN In competition, in    XXX Olympic Games , London, GBR In competition, in    Republic of Belarus Cup , BLR"
 VIn competition testor Wachira MIANO,,KEN,athlete,M,,Long Distance (3000m+),,4 years ineligibility,02/07/2022,Since 05.11.17,No,Non-Doping,"Presence,Use",EPO,"In competition test, 'Qingdao Marathon 2017', Qingdao, CHN"
 Yana MIKHAYLOVA,18/05/1999,RUS,athlete,F,Shot Put,Throws,22/06/2018,2 years ineligibility,11/07/2020,Since 22.06.18,No,Doping,"Presence,Use",Methylhexaneamine,"In competition test, Russian Junior Athletics Championships , Chelyabinsk, Russia"
Andrei MIKHNEVICH,12/07/1976,BLR,athlete,M,Shot Put,Throws,06/08/2005,Lifetime ban,,Since 06-08-05,Yes,Doping,"Presence,Use","Clenbuterol, Methandienone & Oxandrolone","Shotput, IAAF World Athletics Championships, Helsinki FIN"
 MINAEV Vasiliy,17/08/1983,RUS,athlete,M,,Long Distance (3000m+),04/08/2018,4 years ineligibility,21/08/2022,Since 04-08-18,No,Non-Doping,"Presence,Use",Meldonium,"In competition test, 'Siberian International Marathon', Omsk, RUS"
 Ilnaz MINIGALEYEV,11/11/1995,RUS,athlete,F,,Middle Distance (800m-1500m),08/06/2019,4 years ineligibility,18/09/2023,Since 08.06.19,No,Doping,"Evasion, Refusal and or Failure to Submit",Refusal,"In competition test, Athletics Championship of the Volga Federal District, Saransk, RUS"
 Florida MINIYANOVA,01/07/1992,KGZ,athlete,F,20km Walk,Long Distance (3000m+),13/07/2016,4 years ineligibility,16/08/2020,Since 13.07.16,No,Doping,"Presence,Use",Drostanolone,"Out-of competition test, Almaty, KAZ"
 Dilyana MINKINA,,BUL,athlete,F,,Middle Distance (800m-1500m),,4 years ineligibility,30/07/2022,Since 07.07.18,No,Non-Doping,"Presence,Use",GW1516,"In competition test, 'Sofia Bulgarian Championships', Sofia, BUL"
 Retshidisitswe MLENGA,07/02/2000,RSA,athlete,M,,Sprints (400m or less),15/03/2018,4 years ineligibility,14/05/2022,Since 15.03.18,No,Doping,"Presence,Use",Stanozolol,"In competition test,  South Africa Championships , Pretoria, RSA"
 Arina MOISEEVA,02/12/1997,RUS,athlete,F,,Throws,12/01/2019,4 years ineligibility,20/03/2023,Since 12-01-19,No,Doping,"Presence,Use","Ligandrol (LGD-4033); 1,3- dimethylbutylamine; Methylhexaneamine","In competition test, 'Siberian Region Championships', Irkutsk, RUS"
 Vladimir MOKHNEV,,RUS,athlete support personn el,M,,Athlete Support Personnel,01/01/2007,10 years ineligibility,21/12/2026,NA,No,Doping,"Tampering,Pos session,Traffic king","Possession of a Prohibited Substance or a Prohibited Method, Trafficking or Attempted Trafficking in any Prohibted Substance or Prohibited Method, Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method","IAAF Rule 32.2(f) Possession of a prohibited substance
IAAF Rule 32.2(g) Trafficking of a prohibited substance
IAAF Rule 32.2(h) Administration of a prohibited substance"
 Anastasiya MOKHNYUK,01/01/1991,UKR,athlete,F,,Combined Events,21/04/2016,4 years ineligibility,20/04/2020,Since 21.04.16,No,Doping,"Presence,Use","GHRP-2, Meldonium","Out-of-competition test, Brovary, UKR"
 Lahcen MOKHRAJI,12/03/1979,MAR,athlete,M,Marathon,Long Distance (3000m+),19/11/2017,4 years ineligibility,13/12/2021,Since 19.11.17,No,Doping,"Presence,Use",Clenbuterol,"In competition test, 'Verona Marathon', Verona, ITA"
 Marco MOLETTO,15/10/1987,ITA,athlete,M,,Long Distance (3000m+),16/07/2017,4 years ineligibility,03/12/2021,Since 16.07.17,No,Doping,"Evasion,Refusa l and or Failure to Submit",Refusal,IAAF Rule 32.2.c  - Refusal
 Ariane MONTICELLI,06/08/1982,BRA,athlete,F,Triathlon,Combined Events,10/03/2017,4 years ineligibility,24/05/2021,Since 10.03.17,No,Doping,"Presence,Use",EPO,"Out of competition, Porto Alegre, BRA"
 Darien MOORE,10/06/1991,USA,athlete,M,Shot Put,Throws,04/03/2017,4 years ineligibility,09/03/2021,Since 4.3.17,No,Doping,"Presence,Use",Metandienone,"In competition test USATF Indoor Championships , Albuquerque, USA"
 Kevin MOORE,29/07/1990,MLT,athlete,M,,Sprints (400m or less),11/06/2016,4 years ineligibility,24/10/2020,Since 11.06.16,No,Doping,"Presence,Use","Tamoxifen, Methylhexaneamine, Dimethylbutylamine","In competition test, In competition test,    Small states of Europe Athletics Championships , Marsa, MLT"
 Fredrik MORAEUS,23/05/1982,SWE,athlete,M,,,23/03/2016,4 years ineligibility,21/04/2021,From 23.03.16,No,Doping,"Presence,Use","Oxandrolone, Anastrozole, Tamoxifen, Clomiphene","Out competition, in Vasteras, SWE"
 Juliana MOREIRA,10/05/1988,BRA,athlete,F,,Sprints (400m or less),28/03/2014,8 years ineligibility (2nd ADRV),27/03/2020,Since 28.03.14,No,Doping,"Presence,Use",Stanozolol,"Out-of-competition test, Sao Paulo, BRA"
 Marcelo MOREIRA,22/06/1977,BRA,athlete,M,Shot Put,Throws,18/04/2009,Lifetime ban,,Since 18.04.09,Yes,Doping,"Presence,Use",Mephentermine,"In competition test, ' Ibirapuera Sao Paulo, Brazil"
 Philles Nyansiaboka MORITI,31/12/1985,KEN,athlete,F,Marathon,Long Distance (3000m+),31/01/2016,4 years ineligibility,06/06/2020,Since 31.01.16,No,Doping,"Presence,Use",Norandrosterone,"In competition test,  Media Maraton BAM Max Tott , Guatemala City, GUA"
 Sergey MOROZOV,21/03/1988,RUS,athlete,M,20km Walk,Long Distance (3000m+),25/02/2011,Lifetime ban (2nd ADRV),,Since and including those of 25.02.11,Yes,Doping,Use,Athlete Biological Passport,(IAAF Rule 32.2.b)  - Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method
 Habib MOSBAH,08/03/1979,ALG,athlete,M,,Long Distance (3000m+),04/02/2018,4 years ineligibility,20/03/2022,Since 04.02.18,No,Doping,"Presence,Use",EPO,"In competition test, 'Quarts de finales des Championnats de France de Cross-country' Vergeze, FRA"
 Nick MOSSBERG,05/04/1986,USA,athlete,M,Pole Vault,Jumps,03/08/2014,4 years ineligibility,24/04/2020,Since 3.8.14,No,Doping,"Use,Possessio n","Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method, Possession of a Prohibited Substance or a Prohibited Method",IAAF Rule 32.2 (b) Use or attempted use of a prohibited substance
 Mohamed Ikoki MSANDEKI,03/12/1985,TAN,athlete,M,,Long Distance (3000m+),02/01/2017,4 years ineligibility,01/01/2021,Since 02.01.17,No,Doping,"Presence,Use",Norandrosterone,"In competition, 2017 C&D Xiamen International Marathon Xiamen, CHN"
 Sharon Ndinda MULI,14/07/1989,KEN,athlete,F,,Sprints (400m or less),29/04/2016,4 years ineligibility,05/12/2020,Since 29.04.16,No,Doping,"Presence,Use",Norandrosterone,"In competition,    Kenya Defence Forces Championships , Nairobi, KEN"
 Steve MULLINGS,28/11/1982,JAM,athlete,M,200m,Sprints (400m or less),24/06/2011,Lifetime ban (2nd ADRV),,Since 24-06-11,Yes,Doping,"Presence,Use",Furosemide,"National Senior Championships, Kingston, JAM"
 Angela Ndungwa MUNGUTI,24/12/2001,KEN,athlete,F,,Middle Distance (800m-1500m),07/10/2018,4 years ineligibility,06/10/2022,Since 07.10.18,No,Doping,"Presence,Use",Norandrosterone,"Out-of-competition test, Buenos Aires, ARG"
 Kabange MUPOPO,21/09/1992,ZAM,athlete,F,,Sprints (400m or less),06/08/2017,4 years ineligibility,08/11/2021,Since 06.08.17,No,Doping,"Presence,Use",Testosterone,"In competition test, IAAF World championships , London, GBR"
 Zhamalidin MUSAEV,09/05/1992,KGZ,athlete,M,,Sprints (400m or less),26/07/2018,4 years ineligibility,19/09/2022,Since 26.07.18,No,Doping,"Presence,Use",Metandienon / Oxandrolone,"Out-of-competition test, Karakol, KGZ"
 Erol MUTLUSOY,16/06/1976,TUR,athlete support personn el,M,,Athlete Support Personnel,24/05/2014,Lifetime Ban,,NA,Yes,Doping,Administration,Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method,IAAF Rule 32.2.h- Administration of a prohibited substance
 Morris Mureithi MWANGI,15/05/1980,KEN,athlete,M,,Long Distance (3000m+),20/11/2016,2 years ineligibility,06/07/2019,Since 20.11.16,No,Doping,"Presence,Use",Triamcinolone Acetonide,"In competition test, Kobe Marathon 2016, Kobe, JPN"
 Boniface Ontuga MWERESA,13/11/1993,KEN,athlete,M,,Sprints (400m or less),08/06/2018,2 years ineligibility,19/07/2020,Since 08.06.18,No,Doping,"Presence,Use",Higenamine,"In competition test,  Kenyan Athletics Championships , Nairobi, Kenya"
 Robert MYRING-THOMSON,,GBR,athlete,M,,,20/02/2017,4 years ineligibility,19/02/2021,"From 20,02,17",No,Doping,"Use,Possessio n",Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method / Possession of a Prohibited Substance or a Prohibited Method,IAAF Rule 32.2.b - Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method (IAAF Rule 32.2.f) - Possession of a Prohibited Substance or Prohibited Method
 Tezdzhan NAIMOVA,01/05/1987,BUL,athlete,F,100m Hurdles,Sprints (400m or less),03/03/2013,Lifetime ban (2nd ADRV),,Since 03-03-13,Yes,Doping,"Presence,Use",Drostanolone,"European Athletics Indoor Championships, Gothenburg SWE"
 Glory Onome NATHANIEL,23/01/1996,NGR,athlete,F,"400m
Hurdles",Sprints (400m or less),05/08/2018,4 years ineligibility,29/08/2022,Since 05.08.18,No,Doping,"Presence,Use",Stanozolol,"In competition test,   African Championships in Athletics , Asaba, NGR"
 Anna NAZAROVA-KLYASHTORNAYA,03/02/1986,RUS,athlete,F,Long Jump,Jumps,08/08/2012,2 years ineligibility,16/05/2019,"From 08.08.12 to
31.08.14",No,Doping,"Presence,Use",Dehydrochloromethyltestos terone,"In competition test, XXX Olympic Games, London, GBR"
 Olga NENAHOVA,07/06/2001,RUS,athlete,F,,Middle Distance (800m-1500m),07/08/2017,4 years ineligibility,17/09/2021,From 07.08.17,No,Doping,"Presence,Use",Meldonium and Fonturacetam (carphedon),"In competition, in    Zelentsova Cup , Novorossiisk,RUS"
 Benjamin Ndegwa NGANDU,21/05/1990,KEN,athlete,M,,Long Distance (3000m+),06/06/2016,4 years ineligibility,16/11/2021,Since 06.06.15,No,Doping,"Presence,Use",Norandrosterone,"In competition,    Mattoni Ceske Budejovice Half Marathon Ceske Budejovice, CZE"
 Esther NGANGA,14/05/1985,KEN,athlete,F,Cross Country,Long Distance (3000m+),19/11/2017,4 years ineligibility,15/01/2022,Since 19.11.17,No,Doping,"Presence,Use",Clenbuterol,"In competition test, 'Cross National de Pace Rennes Metropole', Pace, FRA"
 Cliff NIELSON,07/10/1991,USA,athlete,M,,Middle Distance (800m-1500m),14/09/2014,4 years ineligibility,25/04/2021,Since 14.9.14,No,Doping,"Use,Possessio n","Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method, Possession of a Prohibited Substance or a Prohibited Method","IAAF Rule 32.2(b) Use of a prohibited substance
IAAF Rule 32.2(f) Possession of a prohibited substance"
 Yegor NIKOLAEV,05/06/1996,RUS,athlete,M,Javelin,Throws,19/11/2017,4 years ineligibility,27/11/2021,Since 09.11.17,No,Doping,"Presence,Use",Oxandrolone and Metenolone,"Out-of-competition   test, Krasnoyarsk, RUS"
 Sheoran NIRMLA,15/07/1995,IND,athlete,F,,Sprints (400m or less),15/08/2016,4 years ineligibility,28/06/2022,Since 15.08.16,No,Doping,"Presence,Use","Drostanolone, Metenolone
& Athlete Biological Passport","In competition test, 58th National Inter-State Senior Athletics Championships, Guwahati, IND & Athlete Biological Passport Case"
 Ilyas NURGALIEV,07/04/1996,RUS,athlete,M,,Middle Distance (800m-1500m),21/07/2018,2 years ineligibility,09/08/2020,Since 21.07.18,No,Doping,"Presence,Use",Oxilofrine,"In competition test,  Russian Athletics Championships , Kazan, RUS"
 Igor OBRAZTSOV,21/10/1995,RUS,athlete,M,,Sprints (400m or less),09/04/2019,1 year ineligibility,28/04/2020,Since 09.04.19,No,Doping,"Presence,Use",Ligandrol (LGD-4033),"Out-of-competition test, Ulyanovsk, RUS"
 Khalid Eisa OGBY,04/05/1990,KSA,athlete,M,Long Jump,Jumps,06/02/2016,4 years ineligibility,29/02/2020,Since 06.02.16,No,Doping,"Presence,Use",Amphetamine,"In competition test,  Federation Cup
, Jeddah, RSA"
 Andreea OGRAZEANU,24/03/1990,ROU,athlete,F,,Sprints (400m or less),08/02/2017,4 years ineligibility,17/02/2021,From 18.02.17,No,Doping,"Presence,Use",Trimetazidine,"In competition, in    Rumanian Indoor Championships , Bucharest, ROU"
 Yuliya OLISHEVSKA,02/02/1989,UKR,athlete,F,200m,Sprints (400m or less),19/07/2016,4 years ineligibility,30/12/2020,Since 19.07.16,No,Doping,"Presence,Use",Exogenous Steroids,"OOCT, Berdychiv, UKR"
 Folashade OLOTU,01/08/1995,NGR,athlete,F,400m,Sprints (400m or less),08/12/2017,4 years ineligibility,07/12/2021,Since 08.12.17,No,Doping,"Evasion, Refusal and or Failure to Submit",Refusal,"In competition test, AFN Commonwealth Games Trials 2018, Abuja, NGR"
 Josephine ONYIA,15/07/1986,ESP,athlete,F,100m Hurdles,Sprints (400m or less),21/08/2015,Lifetime ban (3rd ADRV),,Since 01.08.15,Yes,Doping,"Presence,Use",Metenolone,"In competition test,  Campeonato de Atletismo de Espana , Castellon, ESP"
 Omer OTI,10/02/1998,TUR,athlete,M,,Middle Distance (800m-1500m),26/12/2015,4 years ineligibility,13/08/2021,Since 26.12.15,No,Doping,"Presence,Use",EPO,"In competition test, Athletics Indoor Record Trial Competitions , Istanbul, TUR"
 Hanane OUADDOU,01/01/1982,MAR,athlete,F,3000m SC,Long Distance (3000m+),09/04/2016,8 years ineligibility (2nd ADRV),10/05/2024,Since 09.04.16,No,Doping,"Evasion,Refusa l and or Failure to Submit","Evading, Refusing or Failing to Submit to Sample Collection","IAAF Rule 32.2. (c)  - Refusal to submit to a doping control, Ifrane, MAR"
 Aziz OUHADI,24/07/1984,MAR,athlete,M,100m,Sprints (400m or less),17/04/2017,4 years ineligibility,30/10/2021,From 17.04.17,No,Doping,"Presence,Use",SARMs,"Out competition, in Rabat, MAR"
 Lhoussaine OUKHRID,01/01/1984,MAR,athlete,M,,Long Distance (3000m+),15/10/2017,4 years ineligibility,30/10/2021,Since 15.10.17,No,Doping,"Presence,Use",EPO,"In competition test,  Agropoli Half Marathon , Agropoli, ITA"
 Ziya OZEL,,TUR,athlete support personn el,M,,Athlete Support Personnel,01/11/2014,Lifetime ban,,NA,Yes,Doping,Administration,Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method,IAAF Rule 32.2.h- Administration of a prohibited substance
 Fikret OZSOY,01/01/1965,TUR,athlete support personn el,M,,Athlete Support Personnel,01/05/2014,Lifetime ban,,NA,Yes,Doping,Administration,Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method,IAAF Rule 32.2.h- Administration of a prohibited substance
